Taylor Hackford	10	{Ray,The Devil's Advocate}	{10,10}	{5319,3797}
Chris Columbus	10	{Home Alone 2: Lost in New York,Home Alone}	{10,10}	{5928,8124}
Charles Chaplin	9.5	{The Circus,City Lights}	{9,10}	{2119,414}
Giuseppe Tornatore	9	{La leggenda del pianista sull'oceano,Una pura formalità}	{10,8}	{8335,11617}
Peter Weir	9	{Dead Poets Society,The Truman Show}	{9,9}	{4996,4541}
Paul McGuigan	9	{Lucky Number Slevin,Wicker Park}	{9,9}	{86326,23737}
Pete Docter	9	{Soul,Up,Inside Out}	{8,10,9}	{775273,325381,645118}
Alfred Hitchcock	8.667	{Dial M for Murder,Vertigo,Lifeboat,Psycho,Rebecca,North by Northwest}	{10,8,7,9,9,9}	{9028,352,9123,344,426,343}
Frank Capra	8.5	{It's a Wonderful Life,It Happened One Night}	{9,8}	{348,437}
Clint Eastwood	8.5	{Gran Torino,Changeling}	{7,10}	{408410,279880}
Roman Polanski	8.333	{The Pianist,Chinatown,Carnage}	{9,9,7}	{355,365,557837}
Steven Spielberg	8.333	{The Terminal,Schindler's List,Catch Me If You Can}	{8,9,8}	{6877,329,324}
Christopher Nolan	8.167	{Tenet,Interstellar,Memento,The Dark Knight,The Prestige,Inception}	{6,8,9,9,9,8}	{1236063,258687,335,111543,195334,447301}
Brad Anderson	8	{Fractured,The Machinist}	{6,10}	{1137716,5206}
David Fincher	7.714	{Se7en,The Curious Case of Benjamin Button,The Social Network,The Game,Zodiac,Gone Girl,Fight Club}	{9,6,7,10,7,7,8}	{377,81555,427198,12198,102838,692861,361}
Billy Wilder	7.5	{Sunset Blvd.,Witness for the Prosecution}	{5,10}	{353,489}
Tim Burton	7.333	{Edward Scissorhands,Sleepy Hollow,Charlie and the Chocolate Factory}	{8,7,7}	{8421,5622,38905}
Quentin Tarantino	7.125	{Reservoir Dogs,Kill Bill: Vol. 1,Four Rooms,Pulp Fiction,Kill Bill: Vol. 2,Inglourious Basterds,Django Unchained,Once Upon a Time... in Hollywood}	{5,9,4,4,9,10,9,7}	{394,2717,4250,342,47015,9691,586397,1047883}
Guy Ritchie	7	{Lock, Stock and Two Smoking Barrels,Sherlock Holmes}	{9,5}	{522,420923}
Hayao Miyazaki	7	{Hauru no ugoku shiro,Tonari no Totoro}	{8,6}	{49684,8221}
Martin Brest	7	{Meet Joe Black,Scent of a Woman}	{7,7}	{5059,4871}
Joel Schumacher	7	{A Time to Kill,The Number 23}	{7,7}	{1965,178579}
Ingmar Bergman	7	{Det sjunde inseglet,Höstsonaten}	{6,8}	{425,924}
Darren Aronofsky	6.5	{Black Swan,Requiem for a Dream}	{8,5}	{278273,367}
Will Gluck	6.5	{Friends with Benefits,Easy A}	{7,6}	{505811,463046}
Damien Chazelle	6	{La La Land,Whiplash}	{8,4}	{841081,725190}
David Lynch	6	{Inland Empire,Lost Highway,Mulholland Dr.}	{6,6,6}	{104987,4144,466}
Martin Scorsese	6	{The Wolf of Wall Street,Shutter Island,Goodfellas,The Departed}	{4,10,5,5}	{462682,397667,350,81314}
Stanley Kubrick	5.5	{A Clockwork Orange,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb}	{4,7}	{391,334}
Martin McDonagh	5	{Seven Psychopaths,Three Billboards Outside Ebbing, Missouri}	{4,6}	{586584,944098}
